album_id	album_type	album_name	release_date	total_tracks	track_id	track_name	Genre	Language	duration_ms	popularity	is_explicit	artist_id	artist_name	Label
7md33PHtTKj5wBYrq29RGf	compilation	Reggaeton Mix Perreito	10/7/2022	30	3GALgomp19w4K1KlwoM07T	GATÚBELA			209160	3	FALSE	790FomKkXshlbRYZFtlgla	KAROL G	
4OLVDml2Os55eU0sKV1Mr3	compilation	Feliz Cumpleaños con Perreo	10/14/2022	52	7vodwj1T4yf0xitWOg2fSA	GATÚBELA			209160	1	FALSE	790FomKkXshlbRYZFtlgla	KAROL G	
3hdQfkCo07BnLbkK5RgxHE	compilation	Reggeaton Imperdible	10/7/2022	33	5wpnARjEJkt8A5owpQORje	GATÚBELA			209160	2	FALSE	790FomKkXshlbRYZFtlgla	KAROL G	
01PLSx6MUeLfVaWKeVDZ5n	compilation	Perreo Pegao	10/4/2022	25	5OPG41NUgF2PN9Tpe7TtPh	GATÚBELA			209160	2	FALSE	790FomKkXshlbRYZFtlgla	KAROL G	
2BgmLg9AF8fgPmSBAmoYjO	compilation	Bájale como 7500	10/14/2022	32	3Y7smguvy7hyxWaklqTdqQ	GATÚBELA			209160	5	FALSE	790FomKkXshlbRYZFtlgla	KAROL G	
1TpGeAzOJgAGdPkcWl95r2	single	La Bachata	5/26/2022	1	5ww2BF9slyYgNOk37BlC4u	La Bachata			162637	98	FALSE	0tmwSHipWxN12fsoLcFU3B	Manuel Turizo	
4N1yQmAeHbswH8jbcRnsEG	single	Sleazy Flow Remix	5/26/2022	1	5cx7vkF8BQ0iOsVpfvZbnz	Sleazy Flow with Lil Baby - Remix			161355	77	TRUE	7FOQfJbC3e4GNoheojERnF	SleazyWorld Go	
4Qku5Zl0Smuzw2ZbupxtaV	single	Sleazy Flow	10/15/2021	1	5mt882Eqx22RwFOTE01jS8	Sleazy Flow			111483	70	TRUE	7FOQfJbC3e4GNoheojERnF	SleazyWorld Go	
1vPxv5pAUpEJORNnjwogar	single	India Me	8/26/2022	3	2n7aOh37bBDQOzIo65iWtD	Sleazy Flow with Lil Baby - Remix			161355	27	TRUE	7FOQfJbC3e4GNoheojERnF	SleazyWorld Go	
3JW9zblh5sDC0WBc8jb8g5	compilation	GANG GANG - HIP HOP & RAP	10/6/2022	60	4JWZI98PThgSziWE6PITx5	Sleazy Flow			111483	1	TRUE	7FOQfJbC3e4GNoheojERnF	SleazyWorld Go	
5omNd3Mkij9C3ZeW19rRmv	single	DESPECHÁ	7/28/2022	1	5ildQOEKmJuWGl2vRkFdYc	DESPECHÁ			157017	94	FALSE	7ltDVBr6mKbRvohxheJ9h1	ROSALÍA	
3zbiiu3JTibw0esC7eoMXr	album	MOTOMAMI +	9/9/2022	24	53tfEupEzQRtVFOeZvk7xq	DESPECHÁ			156787	85	FALSE	7ltDVBr6mKbRvohxheJ9h1	ROSALÍA	
0AFaIppKjr2lO1pCjx1wK5	single	Pick Me Up	11/5/2021	4	7xNYZeFtrB05pi9tc6lEeb	Pick Me Up			169440	72	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
07ta8NK5ZipBOVSQgbGxtd	album	Goldmine Deluxe	11/19/2021	17	2jB7EAkahL97QysjRYecTS	Pick Me Up			169440	61	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
3t9HrwRSGZq1QdDft8DVhW	compilation	Never Leave - Country Magic	10/14/2022	28	77XdIOSscAatSVaPAJz7cp	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
6cRtxTN0J6LqLN7rB6UMIW	compilation	Country Road Songs	10/14/2022	45	5BacLdcOdRTV9VRqVpBchv	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
