,album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
34,3CVIexMmcnWlK1tic2dPfV,compilation,When Summer Ends,2022-08-12,12,70kOXsEmXo2DzJ8XxPp0QR,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
35,2lpJyWIrAQVs8MVJZTXx1V,compilation,Car Music,2022-06-29,67,5lqlCguDpW8cKWLHks0x6l,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
36,5nADvjW1bIJ8KoTxA6tbtt,compilation,Обратно в клас - pop,2022-10-07,31,1Opglli1f6hQT1sZGdEazb,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
37,0hJbldcWfHQijug7QbTGlF,compilation,Rap Hits Automne 2022,2022-09-21,21,5Q3d3xXM8lQZZ6gISAUWTQ,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
38,0NrACYymhXAdxYdyRxyfwA,compilation,Trending Fall Hits 2022,2022-08-16,28,7pAY9DTqIafqxPh6SZb0YK,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
39,7J91CCCgudugLrM4aLZGrp,compilation,Strand + Sonne,2022-07-25,55,6wORIAYOsVh9mBGtz3pTcv,I Like You (A Happier Song),Pop-rap,,192840,14,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
40,3xG9AZpwaU8iu8CujXtyEx,compilation,Viral Hits: June 2022,2022-06-28,30,0OwzwsR9SyRp1LxEDUR1SZ,I Like You (A Happier Song),Pop-rap,,192840,8,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
41,6ZL0ANorJEaZeO2SvFN8S0,compilation,Hip Hop Gaming Music,2022-07-18,45,12UP3UuoDTbq2Zg5KQD7TK,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
42,3qij4oTXmtf7c4zCq10dTB,compilation,Chill Mood,2022-10-13,20,1KWYxu0S9i174r8sYZOBud,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
43,7eaJhU3GeMd3pHgXihrHXn,compilation,Hits Automne 2022,2022-09-29,22,4dAK4azHBzIhq0uL8jYwGM,I Like You (A Happier Song),Pop-rap,,192840,6,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
44,1IBsxDKAepIHwntAbNheFW,compilation,Summer Cool Songs,2022-08-19,32,1jQd9iNPRD6DprbuK6LPRw,I Like You (A Happier Song),Pop-rap,,192840,8,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
45,4Cy4tmBQm0eh18KojQVIel,compilation,Back 2 School,2022-09-14,54,2BlYNcRYw45JlqCjyrdK3c,I Like You (A Happier Song),Pop-rap,,192840,9,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
46,2pqy9z9mhrgyGDeFcC8EIs,compilation,Release Round Up Vol.3,2022-09-21,30,7GJYXfRXLmrR5s3kylY73K,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
47,53yjGMo1JUhkPMi66itmEm,compilation,Hardcore Energy,2022-10-13,14,4q6PDil0fuzXdB0EhZrwZx,I Like You (A Happier Song),Pop-rap,,192840,2,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
48,47Mgjqn7leuLfQsKdTW84K,compilation,Poletni Hiti,2022-06-30,34,6xkIFpyuxJ9jVbQ6P56QSl,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
49,34lrZVoyLCm4ZEIXhUCKSN,compilation,Back to School,2022-09-29,30,4FctSmAqTrAXpeBSQbHvNx,I Like You (A Happier Song),Pop-rap,,192840,3,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
